"","date","country","plant_location","industry_sector","accident_level","potential_accident_level","gender","injured_person","accident_type","year","month","accident_category"
"1",2016-01-01,"Country_01","Local_01","Mining","I","IV","Male","Third Party","Pressed",2016,"Jan","Mechanical Hazard"
"2",2016-01-02,"Country_02","Local_02","Mining","I","IV","Male","Employee","Pressurized Systems",2016,"Jan","Mechanical Hazard"
"3",2016-01-06,"Country_01","Local_03","Mining","I","III","Male","Third Party (Remote)","Manual Tools",2016,"Jan","Mechanical Hazard"
"4",2016-01-08,"Country_01","Local_04","Mining","I","I","Male","Third Party","Others",2016,"Jan","Others"
"5",2016-01-10,"Country_01","Local_04","Mining","IV","IV","Male","Third Party","Others",2016,"Jan","Others"
"6",2016-01-12,"Country_02","Local_05","Metals","I","III","Male","Third Party (Remote)","Pressurized Systems",2016,"Jan","Mechanical Hazard"
"7",2016-01-16,"Country_02","Local_05","Metals","I","III","Male","Employee","Fall prevention (same level)",2016,"Jan","Physical Hazard"
"8",2016-01-17,"Country_01","Local_04","Mining","I","III","Male","Third Party","Pressed",2016,"Jan","Mechanical Hazard"
"9",2016-01-19,"Country_02","Local_02","Mining","I","IV","Male","Third Party (Remote)","Others",2016,"Jan","Others"
"10",2016-01-26,"Country_01","Local_06","Metals","I","II","Male","Third Party","Chemical substances",2016,"Jan","Chemical Hazard"
"11",2016-01-28,"Country_01","Local_03","Mining","I","III","Male","Employee","Others",2016,"Jan","Others"
"12",2016-01-30,"Country_01","Local_03","Mining","I","IV","Male","Third Party","Others",2016,"Jan","Others"
"13",2016-02-01,"Country_02","Local_05","Metals","I","I","Male","Employee","Liquid Metal",2016,"Feb","Chemical Hazard"
"14",2016-02-02,"Country_01","Local_01","Mining","IV","V","Male","Third Party","Electrical installation",2016,"Feb","Electrical Hazard"
"15",2016-02-04,"Country_02","Local_05","Metals","I","III","Male","Employee","Confined space",2016,"Feb","Mechanical Hazard"
"16",2016-02-04,"Country_02","Local_05","Metals","I","IV","Male","Employee","Liquid Metal",2016,"Feb","Chemical Hazard"
"17",2016-02-06,"Country_01","Local_04","Mining","III","IV","Male","Third Party","Others",2016,"Feb","Others"
"18",2016-02-07,"Country_01","Local_06","Metals","I","II","Female","Third Party","Others",2016,"Feb","Others"
"19",2016-02-08,"Country_01","Local_06","Metals","I","II","Male","Employee","Others",2016,"Feb","Others"
"20",2016-02-21,"Country_01","Local_06","Metals","I","III","Male","Employee","Others",2016,"Feb","Others"
"21",2016-02-25,"Country_01","Local_06","Metals","I","II","Male","Third Party","Others",2016,"Feb","Others"
"22",2016-02-09,"Country_01","Local_03","Mining","I","IV","Male","Third Party","Others",2016,"Feb","Others"
"23",2016-02-10,"Country_01","Local_03","Mining","II","IV","Male","Third Party","Others",2016,"Feb","Others"
"24",2016-02-15,"Country_02","Local_02","Mining","II","II","Male","Third Party (Remote)","Others",2016,"Feb","Others"
"25",2016-02-14,"Country_01","Local_06","Metals","I","II","Male","Third Party","Others",2016,"Feb","Others"
"26",2016-02-15,"Country_01","Local_06","Metals","I","II","Male","Employee","Manual Tools",2016,"Feb","Mechanical Hazard"
"27",2016-02-13,"Country_01","Local_01","Mining","I","I","Male","Employee","Others",2016,"Feb","Others"
"28",2016-02-15,"Country_01","Local_03","Mining","I","III","Male","Third Party","Others",2016,"Feb","Others"
"29",2016-02-16,"Country_01","Local_01","Mining","I","IV","Male","Employee","Others",2016,"Feb","Others"
"30",2016-02-16,"Country_02","Local_07","Mining","II","III","Male","Employee","Others",2016,"Feb","Others"
"31",2016-02-17,"Country_01","Local_03","Mining","I","II","Male","Employee","Others",2016,"Feb","Others"
"32",2016-02-19,"Country_01","Local_03","Mining","I","II","Male","Employee","Others",2016,"Feb","Others"
"33",2016-02-21,"Country_01","Local_01","Mining","III","IV","Male","Third Party","Others",2016,"Feb","Others"
"34",2016-02-20,"Country_01","Local_04","Mining","V","V","Male","Third Party","Others",2016,"Feb","Others"
"35",2016-02-15,"Country_02","Local_05","Metals","I","II","Male","Employee","Others",2016,"Feb","Others"
"36",2016-02-18,"Country_02","Local_05","Metals","I","III","Male","Third Party (Remote)","Pressed",2016,"Feb","Mechanical Hazard"
"37",2016-02-22,"Country_01","Local_01","Mining","I","IV","Male","Third Party","Others",2016,"Feb","Others"
"38",2016-02-24,"Country_02","Local_07","Mining","I","V","Male","Employee","Others",2016,"Feb","Others"
"39",2016-02-24,"Country_02","Local_07","Mining","I","V","Female","Third Party","Others",2016,"Feb","Others"
"40",2016-02-24,"Country_01","Local_01","Mining","I","IV","Male","Employee","Others",2016,"Feb","Others"
"41",2016-02-29,"Country_02","Local_02","Mining","II","IV","Male","Employee","Others",2016,"Feb","Others"
